alpha;1;2;3;4;5;6;7;8
83;18.276;17.133;19.513;18.271;(1.144, 1.237, 0.005);[183 383];93.407;97.415
84;18.386;17.235;19.630;18.381;(1.15, 1.244, 0.005);[184 384];94.055;98.519
85;18.495;17.338;19.746;18.490;(1.157, 1.251, 0.005);[185 385];94.704;99.624
86;18.603;17.439;19.862;18.598;(1.164, 1.259, 0.005);[186 386];95.356;100.728
87;18.711;17.540;19.977;18.706;(1.171, 1.266, 0.005);[187 387];96.011;101.831
88;18.819;17.641;20.092;18.813;(1.178, 1.273, 0.005);[188 388];96.667;102.935
89;18.925;17.741;20.206;18.920;(1.184, 1.281, 0.005);[189 389];97.327;104.038
90;19.031;17.840;20.319;19.026;(1.191, 1.288, 0.005);[190 390];97.988;105.141
91;19.137;17.939;20.431;19.131;(1.197, 1.295, 0.005);[191 391];98.652;106.244
92;19.242;18.037;20.543;19.236;(1.204, 1.302, 0.005);[192 392];99.318;107.347
93;19.346;18.135;20.655;19.340;(1.211, 1.309, 0.005);[193 393];99.986;108.449
94;19.450;18.232;20.766;19.444;(1.217, 1.316, 0.005);[194 394];100.657;109.552
95;19.553;18.329;20.876;19.547;(1.224, 1.323, 0.006);[195 395];101.330;110.654
96;19.655;18.425;20.985;19.650;(1.23, 1.33, 0.006);[196 396];102.005;111.755
97;19.757;18.521;21.094;19.752;(1.236, 1.337, 0.006);[197 397];102.682;112.857
98;19.859;18.616;21.203;19.853;(1.243, 1.344, 0.006);[198 398];103.361;113.958
99;19.960;18.711;21.311;19.954;(1.249, 1.351, 0.006);[199 399];104.043;115.059
